"feature","coef.AD","qval.AD","coef.MCI","qval.MCI","coef.SCD","qval.SCD","coef.SCS","qval.SCS"
"K00146",-1.23773552857004,3.17318484400589e-07,-1.06589559958501,2.44666940229327e-06,-0.95019510494309,1.09967252408493e-05,0.271234734512813,0.127180792302117
"K05813",-1.00206718822821,4.68345241662254e-05,-1.4056680776102,5.87618194931876e-07,-0.800059771941165,0.000525169849707535,-1.46931885633473,3.18820382631231e-07
"K00145",0.493672716526673,3.19931316619308e-07,0.406678187197429,4.45192905896329e-06,0.193291672954299,0.0079753234810427,0.341577416164309,3.9653517617947e-05
"K03532",-7.35546248344991e-31,1,-1.33226762955019e-15,1,1.74953352009841,3.20785453635483e-07,-4.98919443512122e-31,1
"K00441",0.127539167274843,0.930242624813143,-1.69453390917798,0.00425420215626874,3.96254553122275,3.21388688190113e-07,3.1928319945634,5.96287228762901e-06
"K12111",4.74933615983007,3.22371003308994e-07,0.373422176180686,0.647071534386771,3.95658885614312,3.87379020460615e-06,1.04887768966612,0.124647522431423
"K13655",2.72614653711822e-30,1,-7.66053886991358e-15,1,1.85212397136361,3.22671791503401e-07,1.99567777404849e-30,1
"K00003",0.124708557027675,0.308493964817975,-0.0310799632478997,0.895570178985854,-0.672332470420439,5.26327423616125e-06,-0.824566676772234,3.31508181795564e-07
"K15835",-4.32076912523493e-31,1,-4.88498130835069e-15,1,1.86851396639308,3.33496318915794e-07,0,1
"K09910",-2.51398579668043e-31,1,-5.55111512312578e-16,1,2.26795266501967,3.34024458918959e-07,-1.24729860878031e-31,1
"K05571",0.863931025686722,0.103006345792082,-3.67969652789171,3.34807367025008e-07,-2.63664777112988,2.71410050848819e-05,1.8646835947721,0.00106465070332937
"K00076",0.858764262473014,0.0849615409561402,2.60189709629934,1.51889070631047e-05,3.34923788533706,5.31858024758168e-07,3.46322399127863,3.34931502878515e-07
"K01153",1.1786351578757,3.35546562317499e-07,0.208956071358524,0.224853183366619,0.830446454864259,3.32814512264457e-05,-0.0648497141227981,0.786967730126924
"K03311",-0.73333879715014,0.000348166811708512,-1.28723139301352,3.36580557423501e-07,-1.01092600374146,8.66732535847407e-06,-0.277238858965549,0.135808640566591
"K03759",7.60117743061015e-17,1,1.61434806256201,5.75689219405654e-07,1.67774817133878,3.37921753248476e-07,0,1
"K00980",0.237257346098415,0.278304553976071,-0.00236702832127655,1,1.48096055340962,3.38560010350469e-07,0.426857520260719,0.0459789728955636
"K02805",-0.750272627194127,0.00142281752597322,1.09353234637097,2.79514679811491e-05,0.56413614899274,0.0121085544799129,-1.52739221490222,3.4234249835489e-07
"K07357",-3.83671016522593e-16,1,1.79098163237976,0.00458497234914967,4.2073104577265,3.4636556927901e-07,-2.80866677486136e-16,1
"K07811",-1.33685061977258e-31,1,-7.60502771868232e-15,1,1.78288748385963,3.46822899774562e-07,-1.99567777404849e-30,1
"K00602",0.314822280238916,5.23809746017735e-05,0.463204807548638,3.46935003816315e-07,0.27757980018688,0.000210952941704523,0.433702722165634,8.57056062624146e-07
"K02662",-1.93767002073993,0.00832095680585535,0.174920412414939,0.911382253869286,-4.95066158909331,3.46935003816315e-07,-3.72432115888192,1.54134074733272e-05
"K17202",-1.40839205967117,2.11287889660917e-06,-0.653700257605208,0.00639663571347989,0.340927252158701,0.143116606829642,1.60719870765079,3.47856505026013e-07
"K16710",-3.66391390742005,1.34119264295307e-05,2.89761587148252,0.000202782636549876,1.33052727323755,0.0559153021338722,-4.81493527015759,3.48909788109861e-07
"K01156",-2.28848230066611,8.72348475394464e-07,2.44627525186736,3.49041773048234e-07,-1.18407902612907,0.0016371354977609,1.55659281253121,0.000110997191091169
"K01281",-0.747552548767102,0.123198200043375,-3.35313319318153,3.49041773048234e-07,0.143114215860952,0.864925451749591,-0.0590659444770638,1
"K07492",-7.10480299224255e-31,1,2.22044604925031e-16,1,1.9002217270798,3.4934552230574e-07,-1.24729860878031e-31,1
"K21279",-6.81536634279554e-31,1,-3.10862446895044e-15,1,2.22478809081299,3.49757289818564e-07,-4.98919443512122e-31,1
"K00179",0.0260364374864477,0.937694764362798,-0.834369713889785,3.52347326688506e-07,-0.368130964425828,0.00352306187185604,0.361735969576119,0.00403217003645827
"K21459",-2.41060099439876,0.000589769349085148,-4.15821977473618,8.87372534770017e-07,-4.44640605141893,3.53639769000264e-07,-1.80182262598525,0.00661842333574379
"K03623",1.96714770074905,0.0186333222408926,5.70407534702856,3.5487052142629e-07,4.98099102309683,2.26378836872209e-06,1.78677512345593,0.0313213901929954
"K12410",0.163173217787354,0.0282700178263424,-0.0950924443101132,0.202782799306227,0.072260383277542,0.348233263934593,0.510547257850658,3.56028307316363e-07
"K22300",-2.77565975153722,0.000587479299701522,2.72331728626902,0.00070343943649986,5.11497678602013,3.5619996688591e-07,4.79078893371271,8.75463334236345e-07
"K13735",2.37429036315004,0.00234663553740133,3.76156493444098,2.07741346867977e-05,5.11052973802409,3.57633414387271e-07,-0.113804326323966,0.995474869558894
"K19310",-1.78528224918149,0.000298783177351326,-1.21065806606685,0.00808946964063437,-1.9008695230472,0.000154499586863143,-3.07290914303183,3.58708095557464e-07
"K01213",-3.85772694491927,3.21963354928497e-06,-4.53185524113667,3.58792811565406e-07,-2.44782239028546,0.000617164939377177,0.715657540426367,0.28842646005102
"K09812",0.0945552104024731,0.201336342665405,-0.439719533592957,2.43197195575304e-06,-0.505454329952783,3.62535439528916e-07,-0.0201135919489648,0.884171209850179
"K21645",1.36307326855911e-30,1,6.66133814775094e-15,1,1.79060642082265,3.62535439528916e-07,9.97838887024244e-31,1
"K01090",3.62019047261669,0.000168499784944021,0.280887513029559,0.835004522425659,5.89469732667442,3.62813528911355e-07,-0.639304532414816,0.495530631405456
"K00151",-1.24071107113613,3.65926743853824e-07,-1.03775278887281,4.14526591852182e-06,-1.04194781671662,3.93310793385996e-06,0.272867193124184,0.129755341645914
"K08066",-2.6065448981032,3.6658065735791e-07,-2.60654489810321,3.6658065735791e-07,-2.6065448981032,3.6658065735791e-07,-2.6065448981032,3.6658065735791e-07
"K19681",-2.6065448981032,3.6658065735791e-07,-2.60654489810321,3.6658065735791e-07,-2.6065448981032,3.6658065735791e-07,-2.6065448981032,3.6658065735791e-07
"K02798",3.08752175037793,3.67018347693706e-07,1.62335794817658,0.000809007440814406,1.14706793067833,0.01205442936456,-1.91416929963055,0.000153721961430896
"K21907",-9.97838887024244e-31,1,3.1641356201817e-15,1,1.88541484411568,3.68555124096546e-07,-1.99567777404849e-30,1
"K16950",-0.580127937673994,0.0101449275593162,-1.51937111214863,3.70634203468029e-07,-0.932441936828827,0.000172756983649072,-0.591694367145059,0.00889896125946217
"K02569",-1.36307326855911e-30,1,-4.82947015711943e-15,1,1.76523439988324,3.71804475857175e-07,-9.97838887024244e-31,1
"K15921",1.96707515074978,0.0959022426467039,5.40750796961778,7.26568863863473e-05,7.67715567175016,8.3917563568121e-07,8.14402317136246,3.72078577307175e-07
"K10543",-1.17296082334183,1.47533104523274e-05,-1.54497043549997,3.74756334054134e-07,-0.89117430907064,0.000332545895380016,0.0879074471419582,0.778523478180698
"K06859",-2.16644197823492,3.76110855966375e-07,-1.05940842663585,0.00157181523515848,0.988652151415252,0.00279609078729197,0.8043575600514,0.012233347476139
"K00997",-1.49376638559121,3.76736296049148e-07,-0.12111931324938,0.63839413876184,-1.25893052773866,3.86151235106089e-06,-1.10231344419126,2.10898927073267e-05
"K07711",5.43841482551026e-17,1,1.41619138430363,2.85689215368212e-06,1.64202222787282,3.7967719529795e-07,1.75541673428835e-17,1
"K09820",-1.38098882322629,2.60169445920533e-06,-1.06885413446415,6.41728918768016e-05,-1.5889110409328,3.83528737525553e-07,-1.22880196563744,1.19371937709438e-05
"K01007",-0.572040677282743,0.000635590483679173,-1.00300517212783,7.91178311155234e-07,-1.05696330817786,3.84328491872271e-07,-0.291748023245452,0.0579421126290912
"K03284",0.507646737357884,2.38143414141105e-06,0.580019764250493,3.85576099039544e-07,0.377252529291428,9.43022401856523e-05,-0.142059243500203,0.0921824521370574
"K19134",-3.84121463729442,1.18169915111377e-05,-2.5242224655635,0.0011253613126734,-2.58749092922282,0.000900111158169847,-4.96082862117985,3.85767645771111e-07
"K03570",0.441013676644934,3.87085909753568e-07,0.0640220112234284,0.337544712147688,0.170630128887624,0.0094961005416459,0.324129097056965,2.26739632272267e-05
"K01974",-4.98919443512122e-31,1,-7.43849426498855e-15,1,2.01276189210843,3.88399994836304e-07,-9.97838887024244e-31,1
"K01431",0.769496095550531,0.224139287716423,1.33800614656522,0.0330488387131483,-4.28687771208557,3.9034259639223e-07,-2.47869305954663,0.000334227985716278
"K05523",1.86199271207123e-30,1,-8.77076189453874e-15,1,2.03396536841205,3.96074156771961e-07,1.99567777404849e-30,1
"K11635",-4.01903929091322,1.97098763314982e-06,-4.518764047515,3.96879589494108e-07,-4.31876404751499,7.4090797635676e-07,-4.518764047515,3.96879589494108e-07
