"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"K17468","Group","AD",0.520365086840793,0.794783618065657,0.520103906268602,"GroupAD",0.635349310792065,25,21
"K04045","Group","MCI",-0.517675314837565,0.792446259128042,0.521027119698522,"GroupMCI",0.636440754342862,25,24
"K19872","Group","SCS",-0.752766954270585,1.15308239779149,0.521300014874618,"GroupSCS",0.63673774723168,25,14
"K01782","Group","SCS",0.2,0.307002301791556,0.522165061690859,"GroupSCS",0.637757943825643,25,16
"K07455","Group","SCS",-0.233120904899984,0.357929967565671,0.522264801998805,"GroupSCS",0.637843353134678,25,25
"K19116","Group","SCD",0.606679558117968,0.932041951821138,0.522510535549401,"GroupSCD",0.638107044441495,25,23
"K00997","Group","MCI",-0.12111931324938,0.186195465335591,0.522775458274733,"GroupMCI",0.63839413876184,25,25
"K18332","Group","SCS",-0.0861749526782312,0.132505864091573,0.522868617298202,"GroupSCS",0.638471460775729,25,25
"K03828","Group","AD",0.291255039218815,0.44808475426811,0.523088975248196,"GroupAD",0.638704086880693,25,25
"K01181","Group","AD",-0.240680523069553,0.370609875311553,0.523457538519182,"GroupAD",0.639081169424047,25,25
"K03575","Group","MCI",-0.0487230654469526,0.0750249659878794,0.523452959668633,"GroupMCI",0.639081169424047,25,25
"K22341","Group","SCS",0.337143350950605,0.519599813583396,0.523815533270081,"GroupSCS",0.639481749962721,25,25
"K02946","Group","MCI",-0.0364741647278164,0.0562586599685153,0.524146208925271,"GroupMCI",0.639848935138078,25,25
"K00027","Group","MCI",0.0887813100807486,0.136954322891033,0.524193642873637,"GroupMCI",0.639870332207002,25,25
"K02863","Group","SCD",-0.0298504666167141,0.0460676568536916,0.524374020962726,"GroupSCD",0.640017487308528,25,25
"K06320","Group","AD",0.578529903324067,0.892787842991574,0.524352712099207,"GroupAD",0.640017487308528,25,24
"K13256","Group","SCS",0.20722718768613,0.319885715362714,0.524471483120115,"GroupSCS",0.640099928859619,25,16
"K01739","Group","SCD",0.198845427396389,0.307002678972589,0.524545617107259,"GroupSCD",0.640153891377305,25,25
"K21721","Group","SCD",0.31226906532273,0.482694679642361,0.525034019287793,"GroupSCD",0.640713390559609,25,25
"K10193","Group","AD",-0.179742385431558,0.278859987537893,0.526536045827865,"GroupAD",0.642509708938804,25,25
"K07343","Group","SCD",0.214034505495997,0.332533675112824,0.527116459264913,"GroupSCD",0.643181281005537,25,25
"K02009","Group","AD",-0.191720335756441,0.297889039259366,0.527148949177796,"GroupAD",0.643184244788328,25,25
"K05570","Group","AD",-0.207434109763169,0.322388861482057,0.527255825280421,"GroupAD",0.64327796303244,25,25
"K22015","Group","AD",-0.262087548293238,0.407967946470815,0.527895535933043,"GroupAD",0.644021717802679,25,24
"K00372","Group","MCI",-0.34580692269951,0.53833370894809,0.527931501589336,"GroupMCI",0.644028873254201,25,25
"K03495","Group","MCI",0.0508882294573613,0.079434143049438,0.529032964458421,"GroupMCI",0.645335764398653,25,25
"K02570","Group","MCI",0.401367146784422,0.626725864848313,0.529169987394604,"GroupMCI",0.645466110842879,25,17
"K18122","Group","SCS",0.281163029412396,0.439245800262462,0.529370517441991,"GroupSCS",0.64567390213139,25,25
"K00991","Group","SCD",-0.0351030242933443,0.0548807325639969,0.529676414168637,"GroupSCD",0.646010178279208,25,25
"K10201","Group","AD",-0.489634195344733,0.765584963188349,0.529719843053709,"GroupAD",0.646026320222137,25,25
"K00823","Group","MCI",0.520945414632321,0.81488364156907,0.529890314324708,"GroupMCI",0.646192519241304,25,25
"K16329","Group","SCD",0.582112901947393,0.910622860372906,0.529916523771169,"GroupSCD",0.646192519241304,25,24
"K13731","Group","AD",-0.456055407628329,0.713749984341892,0.530101437133919,"GroupAD",0.646381167659276,25,20
"K19802","Group","SCD",-0.203654583020886,0.319185018733436,0.530682375323309,"GroupSCD",0.647052661409706,25,25
"K12111","Group","MCI",0.373422176180686,0.585325196032986,0.530728096698142,"GroupMCI",0.647071534386771,25,25
"K00651","Group","SCD",0.0584869120130057,0.0916958183314933,0.530815896007835,"GroupSCD",0.647141704329552,25,25
"K21064","Group","AD",0.358127209814664,0.56177653448658,0.531036399433262,"GroupAD",0.64737364265706,25,25
"K16137","Group","SCS",0.573676736137492,0.901122550577846,0.531588992426511,"GroupSCS",0.648010373858115,25,24
