feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K03269	Group	SCS	10.615233883389	0.161013239817031	25	21	7.17640850490692e-25	3.99921430439484e-22
K13043	Group	AD	11.0976431648576	0.168718739455325	25	21	7.51329332586901e-25	4.01886060000733e-22
K03839	Group	MCI	10.9150792763045	0.166457605026909	25	21	7.99089699885295e-25	4.07079124255852e-22
K08314	Group	SCS	10.3184695157249	0.157205646489673	25	21	7.83709524450987e-25	4.07079124255852e-22
K01277	Group	MCI	11.2404239154507	0.171725362289457	25	21	8.27993599691508e-25	4.10891562262281e-22
K10673	Group	MCI	9.58060291644912	0.146682312278587	25	6	8.64185843232503e-25	4.10891562262281e-22
K13043	Group	SCD	11.0219711245631	0.168718739455325	25	21	8.60988341755668e-25	4.10891562262281e-22
K18691	Group	SCS	10.2655966877917	0.158831401910567	25	21	1.06547011594711e-24	4.95582578278354e-22
K03772	Group	SCD	11.9666453634642	0.185812014124831	25	22	1.14388882953535e-24	5.20737136100816e-22
K06137	Group	SCD	9.58631519913873	0.149089588424473	25	11	1.18087773685828e-24	5.26376251204578e-22
K03772	Group	SCS	11.6908614655918	0.185812014124832	25	22	1.81950132851206e-24	7.84961615849884e-22
K07289	Group	MCI	6.89312040540874	0.109669458016465	25	25	1.8567822716546e-24	7.84961615849884e-22
K13043	Group	SCS	10.6005020541754	0.168718739455325	25	21	1.87105264574425e-24	7.84961615849884e-22
K03772	Group	MCI	11.6570354758262	0.185812014124831	25	22	1.92752128613444e-24	7.9310087381024e-22
K00346	Group	AD	11.4037159220512	0.183089940461971	25	21	2.22506684009692e-24	8.98255285107805e-22
K06138	Group	SCD	9.58631519913873	0.155169876100527	25	11	2.61665308052432e-24	1.03677609834997e-21
K13043	Group	MCI	10.402089012555	0.168718739455325	25	21	2.72520161278746e-24	1.06015297649455e-21
K00346	Group	SCD	11.0843614339426	0.183089940461971	25	21	3.91574682152323e-24	1.49609498202341e-21
K07666	Group	MCI	8.69977593976898	0.143837684545576	25	11	3.99014075544181e-24	1.49777283514795e-21
K00346	Group	SCS	11.0496254473494	0.183089940461971	25	21	4.16807343525452e-24	1.53758791759838e-21
K15726	Group	SCS	12.4484441356175	0.207488188887578	25	16	4.68699304986509e-24	1.69971022533752e-21
K07289	Group	SCS	6.53449088185244	0.109669458016465	25	25	5.37636609441442e-24	1.91721214926818e-21
K07272	Group	SCS	-9.52993525242439	0.160549743645843	25	21	5.79731197421432e-24	2.03343093443098e-21
K05776	Group	SCS	10.7293649283044	0.181188858942303	25	19	6.07953983905261e-24	2.06472753010111e-21
K07289	Group	SCD	6.49925248685416	0.109669458016465	25	25	5.98691747459896e-24	2.06472753010111e-21
K05776	Group	SCD	10.6604032807027	0.181188858942303	25	19	6.91151425322456e-24	2.31060560878114e-21
K08218	Group	AD	10.6616951419314	0.183114056470213	25	21	8.50788729530296e-24	2.80053471646619e-21
K13421	Group	SCD	10.4557003745166	0.179780364054286	25	21	8.70242810909316e-24	2.82116896700238e-21
K06188	Group	SCS	10.3023061151533	0.177982936598142	25	21	9.56102813332175e-24	3.0532501185157e-21
K00346	Group	MCI	10.5791270319247	0.183089940461971	25	21	9.90448268394645e-24	3.11641634567233e-21
K00351	Group	AD	11.3190251017543	0.196223683954515	25	22	1.02400938514496e-23	3.17531953689299e-21
K01184	Group	MCI	7.93798239016819	0.138250394615536	25	6	1.12292331161023e-23	3.43229531074465e-21
K13421	Group	SCS	10.3114131090059	0.179780364054286	25	21	1.14723554946029e-23	3.45721856566935e-21
K13421	Group	AD	10.2332274979694	0.179780364054286	25	21	1.33468718154487e-23	3.96624540782419e-21
K02075	Group	AD	9.87401829741169	0.174229284038171	25	21	1.45582181264659e-23	4.26695390457349e-21
K15726	Group	SCD	11.7346518975941	0.207488188887578	25	16	1.51677458130929e-23	4.32705452555913e-21
K18300	Group	AD	11.0229964024328	0.194899425392822	25	21	1.51592244116697e-23	4.32705452555913e-21
K06188	Group	MCI	10.0514151224921	0.177982936598142	25	21	1.56101193998142e-23	4.39465940366348e-21
K01707	Group	MCI	8.51919287201131	0.15132759958863	25	16	1.66193324876505e-23	4.61801607669832e-21
K03473	Group	AD	10.450693462249	0.186668557521222	25	23	1.85545865666001e-23	5.08966582280738e-21
K02075	Group	SCD	9.67358855355689	0.174229284038171	25	21	2.18857051378569e-23	5.92742464720995e-21
K03473	Group	SCD	10.3348152515229	0.186668557521222	25	23	2.31582861279347e-23	6.19368362491614e-21
K03473	Group	SCS	10.3059323379766	0.186668557521222	25	23	2.44829748830969e-23	6.41741698614163e-21
K03642	Group	AD	-9.52059462270459	0.17248345557205	25	21	2.45946996103764e-23	6.41741698614163e-21
K12549	Group	MCI	8.54605146991804	0.15495283919478	25	10	2.49925803844391e-23	6.44266566151155e-21
K15726	Group	MCI	11.4181200594795	0.207488188887578	25	16	2.61207313584373e-23	6.6533234302991e-21
K06188	Group	SCD	9.77788651043018	0.177982936598142	25	21	2.70137693468185e-23	6.79984245817094e-21
K12127	Group	MCI	7.59337550847169	0.138707487155353	25	6	2.89751060400969e-23	6.96574571723498e-21
K12129	Group	MCI	7.59337550847169	0.138707487155353	25	6	2.89751060400969e-23	6.96574571723498e-21
K12130	Group	MCI	7.59337550847169	0.138707487155353	25	6	2.89751060400969e-23	6.96574571723498e-21
K16240	Group	MCI	7.59337550847169	0.138707487155353	25	6	2.89751060400969e-23	6.96574571723498e-21
K02075	Group	SCS	9.52211865477275	0.174229284038171	25	21	2.99491264845996e-23	7.11990566960548e-21
K00351	Group	SCS	10.6979726164927	0.196223683954515	25	22	3.14410128785103e-23	7.39243858844624e-21
K00351	Group	SCD	10.639170174011	0.196223683954515	25	22	3.50803514264177e-23	8.15846955564819e-21
K21573	Group	AD	11.9937132136106	0.221415016283553	25	21	3.5744222950507e-23	8.22347735751664e-21
K03646	Group	AD	7.993872936009	0.148133353547873	25	25	3.85333587649874e-23	8.77084834186883e-21
K07259	Group	SCS	9.24920740668691	0.172010372693759	25	20	4.13736468742576e-23	9.31821630022753e-21
K02075	Group	MCI	9.27359616372558	0.174229284038171	25	21	5.06518024222666e-23	1.11726388105857e-20
K05776	Group	MCI	9.64878292083671	0.181188858942303	25	19	5.01583422216838e-23	1.11726388105857e-20
K15576	Group	MCI	7.5860681487971	0.142791082767315	25	6	5.2567050624564e-23	1.13608546986179e-20
K22067	Group	MCI	7.5860681487971	0.142791082767315	25	6	5.2567050624564e-23	1.13608546986179e-20
K13421	Group	MCI	9.54348085762906	0.179780364054286	25	21	5.34181011592987e-23	1.14293369240435e-20
K09880	Group	MCI	7.88209812156339	0.148829439818713	25	6	5.59478314114506e-23	1.17358804007784e-20
