"feature","coef.AD","qval.AD"
"map00633",-0.961555696644003,0.00265693628852529
"map04024",-5.39082856547558,0.00268398710451675
"map04371",-5.38695954736098,0.00268398710451675
"map04923",-5.40366648815064,0.00269238816307131
"map05150",-0.672440429499618,0.0027534439193041
"map02010",-0.334701362262072,0.00291395505650838
"map00983",0.145765989177227,0.00308695533394618
"map03018",0.135865477730669,0.00308695533394618
"map05012",-4.3438581939392,0.00321079639055558
"map05132",-0.80122284528991,0.00347029663702013
"map00030",-0.160724463441289,0.00357913269270485
"map05219",-0.518266500701945,0.00358872367689832
"map00642",-1.04867920431003,0.0036003619425608
"map00510",0.481211061860459,0.00360668640159016
"map00300",0.123992675615435,0.00365381305822111
"map00790",0.306443151069992,0.00380211665908495
"map00592",-1.01061518931884,0.00413550898980616
"map00010",0.0739152668131587,0.00415073092667235
"map00240",0.153329691584922,0.00415073092667235
"map04976",-0.884806891696521,0.00415073092667235
"map01054",-0.774651012839277,0.00441886164472063
"map04657",0.308234730829754,0.00469358923620603
"map04659",0.308234730829754,0.00469358923620603
"map04914",0.308234730829754,0.00469358923620603
"map04915",0.308234730829754,0.00469358923620603
"map05215",0.308234730829754,0.00469358923620603
"map05146",-0.776794035030377,0.00477202373605869
"map01230",-0.0648302790736963,0.00531371353529481
"map04141",0.149095390686621,0.00561369533708938
"map04612",0.146294298960649,0.00630837527348646
"map00710",-0.120414673370479,0.00667403964008192
"map00330",-0.0940401953117092,0.00678462670809035
"map03020",0.223913597796581,0.00737732229099901
"map04978",0.924140451958514,0.00737732229099901
"map00944",0.849857372241202,0.00742559263472269
"map00970",0.180344085323102,0.0079058721975118
"map05134",-0.134779489242112,0.00813781790733275
"map00365",-1.58084091963692,0.00890871209531552
"map00195",-0.34910441780136,0.00913180347748013
"map04150",-3.42759847957431,0.00960154129663969
"map04919",-3.06253832250576,0.00990723513215879
"map00220",0.0874249031074119,0.00994125323331133
"map00514",-1.12640213310389,0.0108111826681453
"map00627",0.401660983796652,0.0125473788446634
"map04110",3.95510231510466,0.0126676237457781
"map04111",3.95510231510466,0.0126676237457781
"map01212",0.20582288877211,0.013577230084696
"map04723",-1.57026432244808,0.0146490108571947
"map04217",-0.131251730420533,0.0147631940769034
"map05206",0.731457174383745,0.0179726571641943
"map02040",-0.657192102285329,0.0182900321018085
"map00780",0.142334095496219,0.0199884670559075
"map00311",0.598677812516264,0.021128167480506
"map04930",0.228919718880577,0.0212203043063897
"map00520",0.0669782965075659,0.022651247382858
"map04931",-0.212671317635374,0.022651247382858
"map00950",0.156426262661363,0.0235335726030545
"map03013",0.0697137710339033,0.0241653591809057
"map04138",2.53187095400283,0.0249772690569081
"map01053",-2.64059002770315,0.0251785888678211
"map05200",0.130163929774414,0.0258020160476402
"map00630",-0.180229929750939,0.0283817884039878
"map04726",-2.4967162942912,0.0283817884039878
"map04728",-2.48443618535838,0.0283817884039878
"map05030",-2.48443618535838,0.0283817884039878
