"feature","coef.SCS","qval.SCS","coef.SCD","qval.SCD","coef.MCI","qval.MCI","coef.AD","qval.AD"
"k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Thermococcus|s__Thermococcus_chitonophagus",-1.65009513191458,0.000756865088778511,-2.46623227845946,1.00895195398617e-05,-1.06745903905141,0.0190132319000044,-0.383106777567507,0.55141491923618
"k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanomethylovorans|s__Methanomethylovorans_hollandica",-0.851240422136652,3.36351446504741e-05,-0.851240422136651,3.36351446504741e-05,-0.851240422136649,3.36351446504741e-05,-0.851240422136652,3.36351446504741e-05
"k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_rubicundus",0,1,4.95504266861817e-17,1,0.993869778658995,7.44503817459092e-05,3.04047097224406e-17,1
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanothermobacter|s__Methanothermobacter_tenebrarum",2.11675195949295,7.94234063376639e-05,-0.398567578066542,0.530159971316282,-0.398567578066545,0.530159971316282,-0.398567578066542,0.530159971316282
"k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Methanoregula_formicica",-1.19030534792742,0.00083451635882007,-1.48852863144888,9.77988363422445e-05,-1.48852863144888,9.77988363422445e-05,-1.48852863144888,9.77988363422445e-05
"k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Thermococcus|s__Thermococcus_sp._813A4",-0.520084054233541,0.457977064592315,-2.38474155622346,9.77988363422445e-05,-0.409740590970337,0.605423073411458,-1.07313857548815,0.0448343079707254
"k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_salinisoli",-0.29694892363488,0.656332791451043,-1.41002921217415,0.00120306099133858,-1.41002921217415,0.00120306099133858,1.80680996968873,0.000121772929450479
"k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_lacustris",-0.875752949902572,0.219422382771722,-2.83478421883574,0.00012854209497899,-2.2402370984359,0.0011612527651906,1.84798067234833,0.00545333407678678
"k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Natronoarchaeaceae|g__Salinarchaeum|s__Salinarchaeum_sp._IM2453",-1.35176951564875,0.000139207015254874,-1.35176951564875,0.000139207015254874,-1.35176951564874,0.000139207015254874,-1.35176951564875,0.000139207015254874
"k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Thermococcus|s__Thermococcus_siculi",0,1,1.4399084605573,0.000192151294354346,1.4432899320127e-15,1,2.16038456261747e-31,1
"k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanococcoides|s__Methanococcoides_methylutens",-1.86032413945063,0.00105245728311173,-2.06032413945063,0.000380052256954219,2.22518641625224,0.000192721866342178,0.0537866196209603,1
"k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum|s__Halapricum_desulfuricans",2.49459721756061e-31,1,-2.86658352329951e-16,1,-2.40313293979532e-15,1,1.42677400464411,0.000200161392231613
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_ruminantium",-1.75541673428835e-16,1,-7.31081716881187e-16,1,1.25368635563048,0.000200161392231613,-2.97753363235023e-16,1
"k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Thermococcus|s__Thermococcus_guaymasensis",-1.79471578394151,0.00552577169451793,-2.62224503812511,0.000200161392231613,-1.74927467534036,0.00675488547088117,-0.655625069913249,0.411891833248289
