"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Torulaspora.s__Torulaspora_globosa","Group","SCD",0.9539680160718,0.662498367864419,0.1653506180987,"GroupSCD",0.376315199810835,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Drechmeria.s__Drechmeria_coniospora","Group","SCD",0.476189721739912,0.344194448536744,0.181763600975122,"GroupSCD",0.406657547944341,25,3
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Debaryomycetaceae.g__Candida.s__Candida_albicans","Group","MCI",-0.455898677996194,0.340196954200875,0.195239411417693,"GroupMCI",0.429526705118925,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.s__Penicillium_oxalicum","Group","MCI",0.199999999999996,0.154812868441174,0.21112767679172,"GroupMCI",0.456866448139459,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Drechmeria.s__Drechmeria_coniospora","Group","AD",0.428655800124283,0.344194448536744,0.227382965739123,"GroupAD",0.484105668992971,25,3
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Zymoseptoria.s__Zymoseptoria_tritici","Group","AD",-0.809908200804525,0.695703937951927,0.258060505738561,"GroupAD",0.540698202499843,25,20
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_paradoxus","Group","MCI",-0.350690743390951,0.333303099621624,0.305269719228692,"GroupMCI",0.610539438457384,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_paradoxus","Group","SCD",-0.350690743390955,0.333303099621624,0.305269719228687,"GroupSCD",0.610539438457384,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_paradoxus","Group","AD",-0.350690743390955,0.333303099621624,0.305269719228687,"GroupAD",0.610539438457384,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Fulvia.s__Fulvia_fulva","Group","SCD",-0.269793469527943,0.286646927741609,0.357830300192805,"GroupSCD",0.665261966555639,25,4
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Fulvia.s__Fulvia_fulva","Group","AD",-0.269793469527943,0.28664692774161,0.357830300192806,"GroupAD",0.665261966555639,25,4
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Fulvia.s__Fulvia_fulva","Group","SCS",-0.269793469527943,0.28664692774161,0.357830300192806,"GroupSCS",0.665261966555639,25,4
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Pichiaceae.g__Ogataea.s__Ogataea_parapolymorpha","Group","SCS",0.434192462266173,0.449981627639929,0.346112420548364,"GroupSCS",0.665261966555639,25,3
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_fujikuroi","Group","SCS",0.576115772727867,0.606371837325191,0.353400829858025,"GroupSCS",0.665261966555639,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_venenatum","Group","MCI",0.53323232783172,0.575302532225103,0.36504330733467,"GroupMCI",0.669246063446896,25,10
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum.s__Colletotrichum_lupini","Group","AD",-0.367414664858797,0.404055632913405,0.374011205108735,"GroupAD",0.676294233895246,25,17
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Tetrapisispora.s__Tetrapisispora_blattae","Group","SCD",0.63866178059673,0.71330249730328,0.381245118367744,"GroupSCD",0.68005885979111,25,10
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Torulaspora.s__Torulaspora_globosa","Group","MCI",-0.453157753571164,0.662498367864419,0.501816046684011,"GroupMCI",0.865380319797,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Torulaspora.s__Torulaspora_globosa","Group","SCS",-0.453157753571162,0.662498367864419,0.501816046684013,"GroupSCS",0.865380319797,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum.s__Colletotrichum_higginsianum","Group","AD",0.362756238243407,0.534104715659458,0.50480518654825,"GroupAD",0.865380319797,25,8
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_puulaauensis","Group","SCD",-0.2,0.338421068975725,0.561154149435846,"GroupSCD",0.936506490897426,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_puulaauensis","Group","AD",-0.2,0.338421068975725,0.561154149435846,"GroupAD",0.936506490897426,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Torulaspora.s__Torulaspora_globosa","Group","AD",0.371633437621196,0.662498367864419,0.581057602707172,"GroupAD",0.936506490897426,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Trichomonascaceae.g__Sugiyamaella.s__Sugiyamaella_lignohabitans","Group","SCD",-0.224203080192273,0.409027917179767,0.589664672181742,"GroupSCD",0.936506490897426,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Trichomonascaceae.g__Sugiyamaella.s__Sugiyamaella_lignohabitans","Group","AD",-0.224203080192273,0.409027917179767,0.589664672181742,"GroupAD",0.936506490897426,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Pyriculariaceae.g__Pyricularia.s__Pyricularia_oryzae","Group","MCI",-0.199999999999999,0.378518964953459,0.603053422168797,"GroupMCI",0.936506490897426,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Pyriculariaceae.g__Pyricularia.s__Pyricularia_oryzae","Group","SCD",-0.2,0.378518964953459,0.603053422168796,"GroupSCD",0.936506490897426,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Pyriculariaceae.g__Pyricularia.s__Pyricularia_oryzae","Group","SCS",-0.2,0.378518964953459,0.603053422168796,"GroupSCS",0.936506490897426,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum.s__Colletotrichum_higginsianum","Group","SCD",-0.275610265930932,0.534104715659458,0.611496509998594,"GroupSCD",0.938576038602492,25,8
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum.s__Colletotrichum_higginsianum","Group","SCS",0.249661024778543,0.534104715659458,0.645239150581039,"GroupSCS",0.978983538812611,25,8
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Cercospora.s__Cercospora_beticola","Group","MCI",2.13626906278606e-15,0.198169470108078,0.999999999999992,"GroupMCI",1,25,4
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Cercospora.s__Cercospora_beticola","Group","SCD",-1.1466334093198e-16,0.198169470108078,1,"GroupSCD",1,25,4
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Cercospora.s__Cercospora_beticola","Group","SCS",2.49459721756061e-31,0.198169470108078,1,"GroupSCS",1,25,4
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_luchuensis","Group","SCD",-5.43277140838021e-17,0.0346226104553401,0.999999999999999,"GroupSCD",1,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_luchuensis","Group","AD",-5.90877732184291e-17,0.0346226104553401,0.999999999999999,"GroupAD",1,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_luchuensis","Group","SCS",-8.77708367144175e-17,0.0346226104553401,0.999999999999998,"GroupSCS",1,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_puulaauensis","Group","MCI",0.0926242755572733,0.338421068975725,0.787125360398165,"GroupMCI",1,25,5
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.s__Penicillium_oxalicum","Group","SCD",0,0.154812868441174,1,"GroupSCD",1,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.s__Penicillium_oxalicum","Group","SCS",0,0.154812868441174,1,"GroupSCS",1,25,6
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Pichiaceae.g__Ogataea.s__Ogataea_parapolymorpha","Group","MCI",1.20782266908854e-15,0.449981627639929,0.999999999999998,"GroupMCI",1,25,3
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Pichiaceae.g__Ogataea.s__Ogataea_parapolymorpha","Group","SCD",5.73316704659901e-17,0.449981627639929,1,"GroupSCD",1,25,3
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Eremothecium.s__Eremothecium_gossypii","Group","MCI",1.36623173299681e-15,0.26712187041403,0.999999999999996,"GroupMCI",1,25,3
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Eremothecium.s__Eremothecium_gossypii","Group","SCD",1.75472760376861e-16,0.26712187041403,1,"GroupSCD",1,25,3
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Eremothecium.s__Eremothecium_gossypii","Group","AD",1.82428258334644e-16,0.26712187041403,0.999999999999999,"GroupAD",1,25,3
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_cerevisiae","Group","MCI",-1.4835579060101e-15,0.247895853015793,0.999999999999995,"GroupMCI",1,25,3
"k__Eukaryota.k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Saccharomyces.s__Saccharomyces_cerevisiae","Group","SCD",1.7199501139797e-16,0.247895853015793,0.999999999999999,"GroupSCD",1,25,3
