"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanosarcina.s__Methanosarcina_mazei","Group","SCS",2.43750025055664,0.536751161819098,0.000198751447182422,"GroupSCS",0.0009192254432187,25,9
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanococcoides.s__Methanococcoides_methylutens","Group","SCS",-1.86032413945063,0.415580583634714,0.000231113930413048,"GroupSCS",0.00105245728311173,25,15
"k__Archaea.p__Candidatus_Thermoplasmatota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis","Group","SCS",1.90609400995958,0.428657639992242,0.000247733544017446,"GroupSCS",0.00111104740953279,25,6
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanosarcina.s__Methanosarcina_lacustris","Group","MCI",-2.2402370984359,0.506696460546381,0.000262851132661387,"GroupMCI",0.0011612527651906,25,16
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Haladaptatus.s__Haladaptatus_salinisoli","Group","MCI",-1.41002921217415,0.320935688768662,0.000280443271629596,"GroupMCI",0.00120306099133858,25,13
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Haladaptatus.s__Haladaptatus_salinisoli","Group","SCD",-1.41002921217415,0.320935688768662,0.0002804432716296,"GroupSCD",0.00120306099133858,25,13
"k__Archaea.p__Candidatus_Thermoplasmatota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Candidatus_Methanomethylophilaceae.g__Candidatus_Methanomethylophilus.s__Candidatus_Methanomethylophilus_alvus","Group","SCS",-1.40544932203758,0.326113634918083,0.000341054391643886,"GroupSCS",0.00144217285609414,25,16
"k__Archaea.p__Euryarchaeota.c__Thermococci.o__Thermococcales.f__Thermococcaceae.g__Thermococcus.s__Thermococcus_barophilus","Group","SCS",0.959214850673325,0.243029054177414,0.000796482123772898,"GroupSCS",0.00332054519206729,25,5
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Halodesulfurarchaeum.s__Halodesulfurarchaeum_formicicum","Group","MCI",-0.637912756057061,0.165089200423873,0.000966632339759936,"GroupMCI",0.00381497563425255,25,3
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Halodesulfurarchaeum.s__Halodesulfurarchaeum_formicicum","Group","SCD",-0.637912756057063,0.165089200423873,0.000966632339759908,"GroupSCD",0.00381497563425255,25,3
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Halodesulfurarchaeum.s__Halodesulfurarchaeum_formicicum","Group","AD",-0.637912756057063,0.165089200423873,0.000966632339759908,"GroupAD",0.00381497563425255,25,3
"k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Halodesulfurarchaeum.s__Halodesulfurarchaeum_formicicum","Group","SCS",-0.637912756057063,0.165089200423873,0.000966632339759913,"GroupSCS",0.00381497563425255,25,3
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanospirillaceae.g__Methanospirillum.s__Methanospirillum_hungatei","Group","MCI",-0.700804137449674,0.183711943212653,0.00108469547841585,"GroupMCI",0.00400398594891542,25,3
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanospirillaceae.g__Methanospirillum.s__Methanospirillum_hungatei","Group","SCD",-0.700804137449671,0.183711943212653,0.00108469547841589,"GroupSCD",0.00400398594891542,25,3
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanospirillaceae.g__Methanospirillum.s__Methanospirillum_hungatei","Group","AD",-0.700804137449671,0.183711943212653,0.00108469547841589,"GroupAD",0.00400398594891542,25,3
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanospirillaceae.g__Methanospirillum.s__Methanospirillum_hungatei","Group","SCS",-0.700804137449671,0.183711943212653,0.00108469547841589,"GroupSCS",0.00400398594891542,25,3
"k__Archaea.p__Thaumarchaeota.c__Nitrososphaeria.o__Nitrososphaerales.f__Nitrososphaeraceae.g__Nitrososphaera.s__Nitrososphaera_viennensis","Group","SCS",-1.63263466375005,0.426546858226256,0.00105259114263014,"GroupSCS",0.00400398594891542,25,19
"k__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Nitrosopumilus.s__Nitrosopumilus_zosterae","Group","SCS",0.696785908713894,0.18286565346828,0.00109568534412888,"GroupSCS",0.00400398594891542,25,3
"k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Thermoproteales.f__Thermoproteaceae.g__Pyrobaculum.s__Pyrobaculum_aerophilum","Group","AD",0.72043219943426,0.189586969265095,0.00112250030555866,"GroupAD",0.00405195232250443,25,3
"k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanosarcinales.f__Methanosarcinaceae.g__Methanohalobium.s__Methanohalobium_evestigatum","Group","SCS",0.734202952732101,0.193646796491212,0.00114513016318415,"GroupSCS",0.00408383769039168,25,3
