species,mean
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_sp_I4179,-2.4652291232907264
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_sp_I4384,-2.2824469156339653
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_sp_IP118,-2.5974202597166127
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Faecalibacterium.s__Faecalibacterium_sp_IP329,-2.4329388445951947
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Monoglobus.s__Monoglobus_pectinilyticus,-3.230403218379509
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Oscillospiraceae.g__Ruminococcus.s__Ruminococcus_bovis,-2.306670007698037
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Peptostreptococcaceae.g__Clostridioides.s__Clostridioides_difficile,-2.969085992589949
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Peptostreptococcaceae.g__Paeniclostridium.s__Paeniclostridium_sordellii,-4.257982766949869
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Peptostreptococcaceae.g__Peptacetobacter.s__Peptacetobacter_hiranonis,-3.946104067708293
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Peptostreptococcaceae.g__Romboutsia.s__Romboutsia_hominis,-4.201884004854193
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Peptostreptococcaceae.g__Romboutsia.s__Romboutsia_sp_CE17,-3.958826391642386
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelatoclostridium.s__[Clostridium]_spiroforme,-3.726488153199247
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Turicibacteraceae.g__Turicibacter.s__Turicibacter_sanguinis,-3.5244761507363025
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Acidaminococcus.s__Acidaminococcus_fermentans,-3.840912448177843
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Acidaminococcus.s__Acidaminococcus_intestini,-3.267910057828119
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium.s__Phascolarctobacterium_sp_Marseille-Q4147,-3.525215572138816
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Megasphaera.s__Megasphaera_elsdenii,-3.270215981118637
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Veillonella.s__Veillonella_atypica,-2.792710148336165
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter.s__Citrobacter_freundii,-3.821918351213548
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.s__Enterobacter_hormaechei,-3.459421283868227
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.s__Enterobacter_roggenkampii,-3.4927930261395552
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_pneumoniae,-2.246723445804054
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_variicola,-3.4617462823234098
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Salmonella.s__Salmonella_enterica,-4.246921787779621
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_chevalieri,-2.5762832020571986
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Nakaseomyces.s__[Candida]_glabrata,-1.9022080487961894
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Tetrapisispora.s__Tetrapisispora_blattae,-2.447198334974478
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Tetrapisispora.s__Tetrapisispora_phaffii,-2.1662025312974778
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycodaceae.g__Saccharomycodes.s__Saccharomycodes_ludwigii,-2.555428973396361
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_fujikuroi,-2.3297966900107383
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.s__Fusarium_pseudograminearum,-2.522347287793479
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__.f__Siphoviridae.g__.s__Streptococcus_phage_5093,-2.7977370048405725
k__Viruses.p__Uroviricota.c__Caudoviricetes.g__Eponavirus.s__Eponavirus_epona,-1.9471093149561611
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Crevaviridae.g__Kingevirus.s__Kingevirus_communis,-1.3235894192483038
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Intestiviridae.g__Delmidovirus.s__Delmidovirus_splanchnicus,-2.15538920017783
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Intestiviridae.g__Jahgtovirus.s__Jahgtovirus_gastrointestinalis,-2.230717467520876
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Intestiviridae.g__Jahgtovirus.s__Jahgtovirus_intestinihominis,-2.2938120150804475
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Steigviridae.g__Lebriduvirus.s__Lebriduvirus_gastrointestinalis,-3.276128045181663
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Afonbuvirus.s__Afonbuvirus_coli,-1.7006042255506668
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Aurodevirus.s__Aurodevirus_hiberniae,-1.5183551308983123
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Aurodevirus.s__Aurodevirus_hominis,-3.229223921801711
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Buchavirus.s__Buchavirus_copri,-2.889859467864961
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Buchavirus.s__Buchavirus_hiberniae,-2.0736628061102804
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Buchavirus.s__Buchavirus_hominis,-2.6426940163567663
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Buchavirus.s__Buchavirus_intestinalis,-2.073415795754749
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Buchavirus.s__Buchavirus_oralis,-2.3940088713644467
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Buorbuivirus.s__Buorbuivirus_hominis,-1.8420975851934942
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Burzaovirus.s__Burzaovirus_coli,-2.0059357018472705
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Burzaovirus.s__Burzaovirus_faecalis,-2.35139287295444
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Burzaovirus.s__Burzaovirus_intestinihominis,-2.24162036176654
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Canhaevirus.s__Canhaevirus_faecalis,-1.9943847094429006
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Culoivirus.s__Culoivirus_americanus,-2.218357730859667
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Crassvirales.f__Suoliviridae.g__Culoivirus.s__Culoivirus_faecalis,-2.3566434942612147
