feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
map00460	Group	AD	0.423402045809012	0.0448620325473697	10	10	1.30515079648458e-05	5.37192501741479e-05
map00511	Group	AD	1.20243330105752	0.127061990372921	10	10	1.27933513841721e-05	5.37192501741479e-05
map04216	Group	AD	0.91846122836057	0.0971318549265122	10	10	1.28691257423672e-05	5.37192501741479e-05
map04213	Group	AD	0.628252937253713	0.0677498450750879	10	10	1.48670282351742e-05	6.03176574112782e-05
map03022	Group	AD	-0.804572386064304	0.0877117754281008	10	10	1.61083434342029e-05	6.44333737368118e-05
map00020	Group	AD	0.136731988289931	0.0149833801640861	10	10	1.67344943516033e-05	6.53158936581547e-05
map03320	Group	AD	0.409827652980496	0.0449295855511448	10	10	1.67889444966384e-05	6.53158936581547e-05
map00940	Group	AD	0.700393517913932	0.0783282197473853	10	10	1.94363357246054e-05	7.459350467281e-05
map00310	Group	AD	-0.511207766746749	0.0574090358185365	10	10	2.00390997294583e-05	7.58813909755488e-05
map04210	Group	AD	6.12693768838248	0.689374784970605	10	10	2.03218031067927e-05	7.59393695043305e-05
map01523	Group	AD	0.270477990088537	0.0305588182832677	10	10	2.09464470534837e-05	7.72570254959659e-05
map00405	Group	AD	-0.962042099720304	0.110361973900247	10	10	2.34201941681519e-05	8.52735274840402e-05
map00590	Group	AD	-2.82060109418955	0.327423034164872	10	10	2.55362563750071e-05	9.18012254493926e-05
map01220	Group	AD	-0.417083383522894	0.0488393050178809	10	10	2.72092235908712e-05	9.65927437475926e-05
map00785	Group	AD	0.508472541575182	0.0611256080429126	10	10	3.29350849452326e-05	0.000115309962450838
map05111	Group	AD	-0.356742903317104	0.0429496534763638	10	10	3.32937215527068e-05	0.000115309962450838
map00525	Group	AD	0.794311777025858	0.0958102068760891	10	10	3.37505600136276e-05	0.000115483843902051
map05340	Group	AD	0.692035297846923	0.0841240962382534	10	10	3.57025173449715e-05	0.000120708511023475
map04920	Group	AD	0.781474573037081	0.0962969629217813	10	10	3.93898639430444e-05	0.000131608486586172
map00410	Group	AD	0.264243881422444	0.032965679237167	10	10	4.30551399916104e-05	0.000142182090204853
map05204	Group	AD	-1.39442247006478	0.176140640095264	10	10	4.70892334164562e-05	0.000153716578049121
map00051	Group	AD	-0.406605566028868	0.0518485512836992	10	10	5.03884897039172e-05	0.000160790236808005
map05010	Group	AD	0.239077781408621	0.0304382327818692	10	10	4.98233748709934e-05	0.000160790236808005
map04146	Group	AD	0.572080379164512	0.0732676252131177	10	10	5.19862142565922e-05	0.000164045387209691
map00250	Group	AD	0.234353622026407	0.03066382386862	10	10	6.05832143398689e-05	0.000187337431345617
map00760	Group	AD	0.230323677289851	0.0301437479108292	10	10	6.06867735344958e-05	0.000187337431345617
map04626	Group	AD	0.151126181778289	0.0199011278766673	10	10	6.34141168998247e-05	0.000193651711823121
map00340	Group	AD	0.480288637793687	0.0633480343310467	10	10	6.41385018917754e-05	0.000193780154651747
map01055	Group	AD	0.821774513313469	0.109780812539492	10	10	7.02296674866558e-05	0.000209926815053364
map02060	Group	AD	-0.900282542925425	0.120444417540921	10	10	7.09611769194471e-05	0.000209926815053364
map00720	Group	AD	0.149502775753427	0.020124126532437	10	10	7.41110710003626e-05	0.000216930715529587
map05133	Group	AD	0.73322763072155	0.0988370901055083	10	10	7.48563736686602e-05	0.000216930715529587
map00561	Group	AD	-0.306297665795865	0.0420696439144878	10	10	8.54669682863876e-05	0.000245177969629637
map05016	Group	AD	0.479127858032533	0.0660074789125942	10	10	8.73135419088625e-05	0.00024797045902117
map01051	Group	AD	-0.516259284129427	0.0722123943888901	10	10	9.71703525600194e-05	0.000273231486406391
map00472	Group	AD	-0.978030393359775	0.137340055860995	10	10	9.98790652639376e-05	0.000278094652303512
map04622	Group	AD	3.13259377268495	0.451129944431248	10	10	0.000119147725030635	0.000328523824356314
map04068	Group	AD	1.00541450921003	0.144993061649924	10	10	0.000120309521999556	0.000328537540844942
map00791	Group	AD	-1.01739985254072	0.147074100520646	10	10	0.000122338735285745	0.000330897150677634
map00750	Group	AD	0.0818365574551967	0.0119520297880761	10	10	0.000131377341838534	0.00035199212341645
map04910	Group	AD	-0.428595402251261	0.0636056358173009	10	10	0.000146801929957137	0.000389642505680626
map00860	Group	AD	-0.448360886915742	0.0666889320519397	10	10	0.000149106182559507	0.000392094035619445
map00062	Group	AD	1.69072201549768	0.25356018109377	10	5	0.000157848601332525	0.000396898366300277
map00830	Group	AD	-0.945398018798019	0.142509459757978	10	10	0.000163510946680044	0.000396898366300277
map00910	Group	AD	-0.128560643647793	0.0193719574773522	10	10	0.000163087289667586	0.000396898366300277
map00982	Group	AD	-0.959944295422291	0.143519720847258	10	10	0.000154514605234815	0.000396898366300277
map03410	Group	AD	0.0911104857275927	0.0136755588451045	10	10	0.000158773637136879	0.000396898366300277
map04080	Group	AD	0.980651408905942	0.147739894879866	10	10	0.000162874379828633	0.000396898366300277
map04964	Group	AD	-0.416340969859855	0.0627500716136598	10	10	0.000163345205560758	0.000396898366300277
map05166	Group	AD	0.979744920859855	0.147648535442479	10	10	0.000163218400001079	0.000396898366300277
map05205	Group	AD	0.511427994934448	0.0764836672251869	10	10	0.000154806360738611	0.000396898366300277
map04979	Group	AD	0.979335452598003	0.148014148187145	10	10	0.000166500967743136	0.000400731142703819
map00052	Group	AD	0.188053824862188	0.0286782058875547	10	10	0.000177100228206583	0.00042111118671424
map04973	Group	AD	0.631520004968929	0.0963727144652083	10	10	0.000177934304245453	0.00042111118671424
map03420	Group	AD	0.147014306640226	0.0227387138039303	10	10	0.000195108593677698	0.00045794083144187
map05418	Group	AD	0.262638540306083	0.0412480071704742	10	10	0.000216561618017445	0.000504127045220937
map04714	Group	AD	1.02524110780222	0.167688629504544	10	10	0.000285056501238575	0.000658179238632157
map00600	Group	AD	0.443210502479597	0.0732032133656637	10	10	0.00030438571891899	0.000697141485266074
map00562	Group	AD	-0.246136249882893	0.0408258920697117	10	10	0.000313151580930292	0.000711480391873623
map00640	Group	AD	-0.21406934624498	0.0355515323459013	10	10	0.000315787652751259	0.000711775344296488
map00061	Group	AD	0.343008311056927	0.0581280587754736	10	10	0.000361375583557849	0.000808115478192355
map01040	Group	AD	-0.375712808853852	0.0642791924219635	10	10	0.0003849475207614	0.000854102311689356
map00740	Group	AD	0.345455514376036	0.060793590115504	10	10	0.000463686448435386	0.00102082908027635
map00643	Group	AD	-0.9354977321845	0.166860045896657	10	10	0.000506405074413372	0.00110630031641075
map03440	Group	AD	0.211442407095231	0.0379637442754895	10	10	0.000528700328229268	0.00114619002455811
map01100	Group	AD	0.0325204903231904	0.00599075115462502	10	10	0.000624489390926531	0.0013435983865389
map02030	Group	AD	-0.828326715234828	0.153854855277292	10	10	0.000658622938211005	0.00140638281542801
map03010	Group	AD	0.267176679012261	0.0497394602349193	10	10	0.000668382303895778	0.00141657145004777
map04070	Group	AD	0.464795993590346	0.0880476563110218	10	10	0.000747188043112591	0.00157186225365908
map04727	Group	AD	0.328669024367735	0.0634479795368429	10	10	0.000842616409861298	0.00175958132647506
map00980	Group	AD	-0.612068030038758	0.118699755637452	10	10	0.000867440399754924	0.00179819761701021
map00430	Group	AD	0.340658419171626	0.0665068642023869	10	10	0.000904785392699348	0.0018620221125117
map01120	Group	AD	-0.115313762620962	0.0227478936226531	10	10	0.00096595853028417	0.00197361311223528
map00281	Group	AD	-1.09105786189276	0.216979287640946	10	10	0.00101619174769189	0.00206141754531784
map00930	Group	AD	0.576041341175297	0.114921197894341	10	10	0.00103653801250563	0.00208777869185531
map00473	Group	AD	-0.15289106968969	0.031784119142573	10	10	0.00133782355372928	0.00265693628852529
map00633	Group	AD	-0.961555696644003	0.199830926132454	10	10	0.00133518143934773	0.00265693628852529
map04024	Group	AD	-5.39082856547558	1.12508107323445	10	5	0.00137034552871454	0.00268398710451675
map04371	Group	AD	-5.38695954736098	1.12422861350889	10	5	0.00137000946366083	0.00268398710451675
map04923	Group	AD	-5.40366648815064	1.12960203728209	10	5	0.00138411504157891	0.00269238816307131
map05150	Group	AD	-0.672440429499618	0.141242998460538	10	10	0.00142519808499191	0.0027534439193041
map02010	Group	AD	-0.334701362262072	0.0710377667446449	10	10	0.00151853995902549	0.00291395505650838
map00983	Group	AD	0.145765989177227	0.0313024598275327	10	10	0.00163043415525326	0.00308695533394618
map03018	Group	AD	0.135865477730669	0.0291506468582028	10	10	0.00162175374475963	0.00308695533394618
map05012	Group	AD	-4.3438581939392	0.939950506388536	10	9	0.00170714878511934	0.00321079639055558
map05132	Group	AD	-0.80122284528991	0.175824483719535	10	10	0.00185734186206711	0.00347029663702013
map00030	Group	AD	-0.160724463441289	0.0354918217553702	10	10	0.00192819472529522	0.00357913269270485
map05219	Group	AD	-0.518266500701945	0.114622148436296	10	10	0.00194599805014909	0.00358872367689832
map00642	Group	AD	-1.04867920431003	0.232308732131931	10	10	0.00196498627146804	0.0036003619425608
map00510	Group	AD	0.481211061860459	0.106746916525973	10	10	0.00198113760087347	0.00360668640159016
map00300	Group	AD	0.123992675615435	0.0275949636329298	10	10	0.00201988961317153	0.00365381305822111
map00790	Group	AD	0.306443151069992	0.0687322810403868	10	10	0.00211526208498388	0.00380211665908495
map00592	Group	AD	-1.01061518931884	0.230170510791677	10	10	0.00231530256823655	0.00413550898980616
map00010	Group	AD	0.0739152668131587	0.0168837718014667	10	10	0.00235544327087473	0.00415073092667235
map00240	Group	AD	0.153329691584922	0.0350545954729262	10	10	0.00236767045817226	0.00415073092667235
map04976	Group	AD	-0.884806891696521	0.202162129136871	10	10	0.00235913626217851	0.00415073092667235
map01054	Group	AD	-0.774651012839277	0.179197612398135	10	10	0.00253617763411783	0.00441886164472063
map04657	Group	AD	0.308234730829754	0.0724238477238415	10	10	0.00277648940733314	0.00469358923620603
map04659	Group	AD	0.308234730829754	0.0724238477238415	10	10	0.00277648940733314	0.00469358923620603
map04914	Group	AD	0.308234730829754	0.0724238477238415	10	10	0.00277648940733314	0.00469358923620603
map04915	Group	AD	0.308234730829754	0.0724238477238415	10	10	0.00277648940733314	0.00469358923620603
map05215	Group	AD	0.308234730829754	0.0724238477238415	10	10	0.00277648940733314	0.00469358923620603
map05146	Group	AD	-0.776794035030377	0.183230956714294	10	10	0.0028396901809645	0.00477202373605869
map01230	Group	AD	-0.0648302790736963	0.0155975708916945	10	10	0.00318074401760605	0.00531371353529481
map04141	Group	AD	0.149095390686621	0.0362563075907824	10	10	0.00338007712197987	0.00561369533708938
map04612	Group	AD	0.146294298960649	0.0363567053365011	10	10	0.00382056530647771	0.00630837527348646
map00710	Group	AD	-0.120414673370479	0.0302600635312667	10	10	0.00406552414695131	0.00667403964008192
map00330	Group	AD	-0.0940401953117092	0.0237267379921377	10	10	0.00415677833523845	0.00678462670809035
map03020	Group	AD	0.223913597796581	0.0574761117440559	10	10	0.00457186170146418	0.00737732229099901
map04978	Group	AD	0.924140451958514	0.237050724727859	10	10	0.00455432589508569	0.00737732229099901
map00944	Group	AD	0.849857372241202	0.218633472849832	10	10	0.0046279221702321	0.00742559263472269
map00970	Group	AD	0.180344085323102	0.0469783621456347	10	10	0.004955088912525	0.0079058721975118
map05134	Group	AD	-0.134779489242112	0.0353327389951979	10	10	0.00512911762469212	0.00813781790733275
map00365	Group	AD	-1.58084091963692	0.421866226166945	10	10	0.00564636682097463	0.00890871209531552
map00195	Group	AD	-0.34910441780136	0.093690732305359	10	10	0.00581991700501375	0.00913180347748013
map04150	Group	AD	-3.42759847957431	0.929540653731226	10	5	0.00615310040840994	0.00960154129663969
map04919	Group	AD	-3.06253832250576	0.836330212832278	10	10	0.00638388742670795	0.00990723513215879
map00220	Group	AD	0.0874249031074119	0.0239144849198583	10	10	0.00644081195397635	0.00994125323331133
map00514	Group	AD	-1.12640213310389	0.313403936995625	10	10	0.00704249575213692	0.0108111826681453
map00627	Group	AD	0.401660983796652	0.115141791280784	10	10	0.00821764952502601	0.0125473788446634
map04110	Group	AD	3.95510231510466	1.13828298872444	10	6	0.00838561008523338	0.0126676237457781
map04111	Group	AD	3.95510231510466	1.13828298872444	10	6	0.00838561008523338	0.0126676237457781
map01212	Group	AD	0.20582288877211	0.0601132681793093	10	10	0.00903555100706881	0.013577230084696
map04723	Group	AD	-1.57026432244808	0.466094912126232	10	4	0.00980039458755983	0.0146490108571947
map04217	Group	AD	-0.131251730420533	0.0390606339098739	10	10	0.00992876784749492	0.0147631940769034
map05206	Group	AD	0.731457174383745	0.226819220900109	10	10	0.0121505287870609	0.0179726571641943
map02040	Group	AD	-0.657192102285329	0.20475049528678	10	10	0.0124294936466516	0.0182900321018085
map00780	Group	AD	0.142334095496219	0.0452242709419275	10	10	0.0136540936931199	0.0199884670559075
map00311	Group	AD	0.598677812516264	0.192674931198358	10	10	0.0145070164038686	0.021128167480506
map04930	Group	AD	0.228919718880577	0.0738227805931907	10	10	0.0146449987466633	0.0212203043063897
map00520	Group	AD	0.0669782965075659	0.0219514134172542	10	10	0.0157920668373446	0.022651247382858
map04931	Group	AD	-0.212671317635374	0.069630469137607	10	10	0.015718395412574	0.022651247382858
map00950	Group	AD	0.156426262661363	0.0517494865035569	10	10	0.016490073760591	0.0235335726030545
map03013	Group	AD	0.0697137710339033	0.0232218850259204	10	10	0.0170178585781026	0.0241653591809057
map04138	Group	AD	2.53187095400283	0.850439131422893	10	10	0.0176775742268962	0.0249772690569081
map01053	Group	AD	-2.64059002770315	0.889499429687084	10	10	0.017908714617253	0.0251785888678211
map05200	Group	AD	0.130163929774414	0.0441325492606083	10	10	0.0184429903439118	0.0258020160476402
map00630	Group	AD	-0.180229929750939	0.0628183707643647	10	10	0.0208588936435704	0.0283817884039878
map04726	Group	AD	-2.4967162942912	0.867685993672017	10	4	0.0205922400812515	0.0283817884039878
map04728	Group	AD	-2.48443618535838	0.866200476804376	10	4	0.0208865978043431	0.0283817884039878
map05030	Group	AD	-2.48443618535838	0.866200476804376	10	4	0.0208865978043431	0.0283817884039878
map05031	Group	AD	-2.48443618535838	0.866200476804376	10	4	0.0208865978043431	0.0283817884039878
map05034	Group	AD	-2.4967162942912	0.867685993672017	10	4	0.0205922400812515	0.0283817884039878
map00071	Group	AD	-0.148717251457759	0.0523829255893586	10	10	0.0218441851834436	0.0295416599623714
map00261	Group	AD	0.127209452005361	0.0448665582724787	10	10	0.0219707990637739	0.029572070777781
map05203	Group	AD	0.20286549056596	0.0717751659084198	10	10	0.0222732252567743	0.0298377168534146
map00920	Group	AD	-0.102535657281242	0.0364695766305284	10	10	0.0227889401123421	0.0303852534831228
map05165	Group	AD	0.200324618342312	0.0713757366907537	10	10	0.0229623218302871	0.0304733616813156
map03430	Group	AD	0.0570072518514506	0.0205668034234561	10	10	0.0242289259001766	0.0320047207239542
map01210	Group	AD	-0.0638765554382427	0.0238862521150474	10	10	0.028178291459688	0.0370492350673676
map04152	Group	AD	-0.348113025198834	0.130996781050885	10	10	0.0289211290192587	0.0378506942003201
map05231	Group	AD	-0.962214245965486	0.363119653501611	10	10	0.0292624072469945	0.038121668156635
map00660	Group	AD	-0.106749628075926	0.0425685200038895	10	10	0.0365007534466864	0.0473343104057486
map00401	Group	AD	0.110717564580876	0.0480244136560177	10	10	0.0500437902873417	0.0646019838254775
map00908	Group	AD	-0.114606366124073	0.0499926441646767	10	10	0.0510680101969645	0.0656258592576376
map04066	Group	AD	0.0751795424113107	0.032910348865125	10	10	0.0517170366304791	0.0661605333470994
map01501	Group	AD	0.085131568793583	0.0376854308919336	10	10	0.0538058679853147	0.0685240650575308
map03050	Group	AD	1.82376365604466	0.809809705162326	10	5	0.054389699836933	0.0689583694361115
map01502	Group	AD	-0.125697612038273	0.0559251709592966	10	10	0.054771746488467	0.069134115567665
map05120	Group	AD	0.131413116538661	0.0603979208808656	10	10	0.0612632901161873	0.0769857274026425
map04016	Group	AD	0.191418155630476	0.091981647980655	10	10	0.0709995048674327	0.0888275743715898
map04550	Group	AD	-2.80746235406922	1.38045909635154	10	10	0.0764153474054016	0.0947683784416335
map05210	Group	AD	-1.40307409164691	0.689509842294011	10	9	0.0762767682006052	0.0947683784416335
map02020	Group	AD	-0.123558676274248	0.0621698848700786	10	10	0.0820982551394097	0.101373497650402
map04724	Group	AD	0.118933127761192	0.0618909324096637	10	10	0.090883015683887	0.111734963005298
map05164	Group	AD	1.58649830328663	0.836103964883492	10	7	0.0943319504671797	0.115475318675341
map00650	Group	AD	0.0905629347290017	0.0479739270121715	10	10	0.0957564618624753	0.116716030767996
map00260	Group	AD	-0.0885929880503411	0.0473051699044678	10	10	0.0979847915020273	0.118921712763144
map04113	Group	AD	-1.44558700252566	0.801579962605606	10	10	0.108981426351891	0.131705213123137
map01524	Group	AD	-0.214996147209717	0.120707750585248	10	10	0.112755966140727	0.135689382982909
map00500	Group	AD	0.0543008775665566	0.0309326871634185	10	10	0.117255736968768	0.140508984384516
map00440	Group	AD	-0.143169175369989	0.0843168174132921	10	10	0.127941316244776	0.152669469804691
map04922	Group	AD	-0.0946164660629488	0.0564219302975188	10	10	0.132076507833083	0.156944469558978
map04112	Group	AD	0.0461190375195267	0.0284916457244232	10	10	0.144175268601366	0.170607401178283
map00903	Group	AD	-0.249120543683889	0.154253526131435	10	10	0.144972475794557	0.170838934131346
map00290	Group	AD	0.0827728951665579	0.0521816766484635	10	10	0.151344834679591	0.177611293590925
map05142	Group	AD	1.56265696093145	0.990524812131952	10	8	0.153308097274318	0.179174895579862
map00984	Group	AD	-0.937904927059956	0.602040834439152	10	10	0.157878370617214	0.183760070718397
map03030	Group	AD	0.0437415788307416	0.0284400558261333	10	10	0.162600344472027	0.188483664612472
map00730	Group	AD	0.0642461143618252	0.0426375336613358	10	10	0.170287622818022	0.196592214960644
map00270	Group	AD	0.0235706222571266	0.0160415390497295	10	10	0.179932944757733	0.206886462798365
map00620	Group	AD	0.00519638370239045	0.00355133276365346	10	10	0.181556863370903	0.207911891924744
map00190	Group	AD	-0.0203376081438451	0.0139835305957425	10	10	0.183917721612433	0.209769610192494
map00981	Group	AD	0.879916111175852	0.618293857639272	10	10	0.192501824348009	0.218682072459338
map00680	Group	AD	-0.0829713887921478	0.0587945771970829	10	10	0.195868700961389	0.221620362840774
map04918	Group	AD	-0.474915476795404	0.33844648860028	10	10	0.198151800182739	0.222788002089452
map05131	Group	AD	-2.20761262765066	1.57448589781654	10	9	0.198469593410674	0.222788002089452
map00900	Group	AD	-0.0388340167397763	0.0304533470376101	10	10	0.2380231606964	0.266136132432195
map01110	Group	AD	0.0121190386764731	0.00957093632461811	10	10	0.241054120307574	0.268468118303338
map04072	Group	AD	-0.863528387603491	0.754439672270599	10	10	0.285464393442559	0.316687061475338
map00333	Group	AD	-0.0568928406809299	0.0541787727278584	10	10	0.324358486135014	0.358435058608343
map03450	Group	AD	-0.489524841283202	0.476588545954659	10	10	0.334404699072453	0.368104397428591
map04621	Group	AD	0.037670037003154	0.0369391298772252	10	10	0.337675232594761	0.370269367015105
map00770	Group	AD	-0.012323317889045	0.012277199778471	10	10	0.344886746245694	0.376722445899142
map00966	Group	AD	-0.0662320261933447	0.0671886529475894	10	10	0.353121012139914	0.384238955738451
map00332	Group	AD	0.0852044543258632	0.0926659766696393	10	10	0.384730661478455	0.417036289541532
map04934	Group	AD	-0.177064221615955	0.22216576689053	10	10	0.44846109484085	0.482435420207581
map05211	Group	AD	-0.177064221615955	0.22216576689053	10	10	0.44846109484085	0.482435420207581
map01200	Group	AD	0.0204479259438719	0.0291727923418328	10	10	0.503224038155551	0.539304252211987
map03070	Group	AD	0.0452383711870784	0.0667940872904311	10	10	0.517330495012329	0.552337821742486
map00380	Group	AD	-0.025667777126966	0.0394276118276966	10	10	0.53328868963425	0.567243400210213
map00960	Group	AD	-0.0359960188204419	0.0570662715690486	10	10	0.545780957411051	0.578364895166934
map04725	Group	AD	0.485278156287995	0.824588708214842	10	10	0.572426972996803	0.60434669268064
map00471	Group	AD	-0.0157345439329999	0.0272987801709502	10	10	0.580206942442317	0.610291746865252
map00121	Group	AD	0.0653486431760353	0.124165607974687	10	10	0.61295294941526	0.642356596435181
map04151	Group	AD	-0.0650508506967036	0.124526418445257	10	10	0.615554589332705	0.642711409450325
map05143	Group	AD	0.416878462395356	0.922399539436279	10	10	0.663307043924483	0.69003370137199
map04721	Group	AD	0.430651157127449	1.05405571373533	10	10	0.693576024928267	0.718889018538788
map00120	Group	AD	0.0356232380614691	0.10644449407993	10	10	0.746483355595638	0.770913719960586
map04966	Group	AD	0.313658656983214	1.02594854019867	10	10	0.76761781993477	0.787016104193049
map05323	Group	AD	0.313658656983214	1.02594854019867	10	10	0.76761781993477	0.787016104193049
map05152	Group	AD	0.00686594998287292	0.0296723683536873	10	10	0.822818801942758	0.840577481121379
